x,y,z,scl1
1.3625,0.1875,-0.16249999,1.0
1.3875,0.1875,-0.16249999,1.0
1.4124999,0.1875,-0.16249999,1.0
1.4375,0.1875,-0.16249999,1.0
1.4625001,0.1875,-0.16249999,1.0
1.4875,0.1875,-0.16249999,1.0
1.5125,0.1875,-0.16249999,1.0
1.5374999,0.1875,-0.16249999,1.0
1.5625,0.1875,-0.16249999,1.0
1.5875001,0.1875,-0.16249999,1.0
1.6125,0.1875,-0.16249999,1.0
1.6375,0.1875,-0.16249999,1.0
1.6624999,0.1875,-0.16249999,1.0
1.6875,0.1875,-0.16249999,1.0
1.7125001,0.1875,-0.16249999,1.0
1.7375,0.1875,-0.16249999,1.0
1.7625,0.1875,-0.16249999,1.0
1.7874999,0.1875,-0.16249999,1.0
1.8125,0.1875,-0.16249999,1.0
1.8375001,0.1875,-0.16249999,1.0
1.8625,0.1875,-0.16249999,1.0
1.8875,0.1875,-0.16249999,1.0
1.9124999,0.1875,-0.16249999,1.0
1.9375,0.1875,-0.16249999,1.0
1.9625001,0.1875,-0.16249999,1.0
-0.0125,0.21250001,-0.16249999,1.0
0.0125,0.21250001,-0.16249999,1.0
0.037500001,0.21250001,-0.16249999,1.0
0.5625,0.21250001,-0.16249999,1.0
0.58749998,0.21250001,-0.16249999,1.0
0.61250001,0.21250001,-0.16249999,1.0
0.63749999,0.21250001,-0.16249999,1.0
0.66250002,0.21250001,-0.16249999,1.0
0.6875,0.21250001,-0.16249999,1.0
0.71249998,0.21250001,-0.16249999,1.0
0.73750001,0.21250001,-0.16249999,1.0
0.76249999,0.21250001,-0.16249999,1.0
0.78750002,0.21250001,-0.16249999,1.0
0.8125,0.21250001,-0.16249999,1.0
0.83749998,0.21250001,-0.16249999,1.0
0.86250001,0.21250001,-0.16249999,1.0
0.88749999,0.21250001,-0.16249999,1.0
0.91250002,0.21250001,-0.16249999,1.0
0.9375,0.21250001,-0.16249999,1.0
0.96249998,0.21250001,-0.16249999,1.0
0.98750001,0.21250001,-0.16249999,1.0
1.0125,0.21250001,-0.16249999,1.0
1.0374999,0.21250001,-0.16249999,1.0
1.0625,0.21250001,-0.16249999,1.0
1.0875001,0.21250001,-0.16249999,1.0
1.1125,0.21250001,-0.16249999,1.0
1.1375,0.21250001,-0.16249999,1.0
1.1624999,0.21250001,-0.16249999,1.0
1.1875,0.21250001,-0.16249999,1.0
1.2125001,0.21250001,-0.16249999,1.0
1.2375,0.21250001,-0.16249999,1.0
1.2625,0.21250001,-0.16249999,1.0
1.2874999,0.21250001,-0.16249999,1.0
1.3125,0.21250001,-0.16249999,1.0
1.3375001,0.21250001,-0.16249999,1.0
1.3625,0.21250001,-0.16249999,1.0
1.3875,0.21250001,-0.16249999,1.0
1.4124999,0.21250001,-0.16249999,1.0
1.4375,0.21250001,-0.16249999,1.0
1.4625001,0.21250001,-0.16249999,1.0
1.4875,0.21250001,-0.16249999,1.0
1.5125,0.21250001,-0.16249999,1.0
1.5374999,0.21250001,-0.16249999,1.0
1.5625,0.21250001,-0.16249999,1.0
1.5875001,0.21250001,-0.16249999,1.0
1.6125,0.21250001,-0.16249999,1.0
1.6375,0.21250001,-0.16249999,1.0
1.6624999,0.21250001,-0.16249999,1.0
1.6875,0.21250001,-0.16249999,1.0
1.7125001,0.21250001,-0.16249999,1.0
1.7375,0.21250001,-0.16249999,1.0
1.7625,0.21250001,-0.16249999,1.0
1.7874999,0.21250001,-0.16249999,1.0
1.8125,0.21250001,-0.16249999,1.0
1.8375001,0.21250001,-0.16249999,1.0
1.8625,0.21250001,-0.16249999,1.0
1.8875,0.21250001,-0.16249999,1.0
1.9124999,0.21250001,-0.16249999,1.0
1.9375,0.21250001,-0.16249999,1.0
0.61250001,0.2375,-0.16249999,1.0
0.63749999,0.2375,-0.16249999,1.0
0.66250002,0.2375,-0.16249999,1.0
0.6875,0.2375,-0.16249999,1.0
0.71249998,0.2375,-0.16249999,1.0
0.73750001,0.2375,-0.16249999,1.0
0.76249999,0.2375,-0.16249999,1.0
0.78750002,0.2375,-0.16249999,1.0
0.8125,0.2375,-0.16249999,1.0
0.83749998,0.2375,-0.16249999,1.0
0.86250001,0.2375,-0.16249999,1.0
0.88749999,0.2375,-0.16249999,1.0
0.91250002,0.2375,-0.16249999,1.0
0.9375,0.2375,-0.16249999,1.0
0.96249998,0.2375,-0.16249999,1.0
0.98750001,0.2375,-0.16249999,1.0
1.0125,0.2375,-0.16249999,1.0
1.0374999,0.2375,-0.16249999,1.0
1.0625,0.2375,-0.16249999,1.0
1.0875001,0.2375,-0.16249999,1.0
1.1125,0.2375,-0.16249999,1.0
1.1375,0.2375,-0.16249999,1.0
1.1624999,0.2375,-0.16249999,1.0
1.1875,0.2375,-0.16249999,1.0
1.2125001,0.2375,-0.16249999,1.0
1.2375,0.2375,-0.16249999,1.0
1.2625,0.2375,-0.16249999,1.0
1.2874999,0.2375,-0.16249999,1.0
1.3125,0.2375,-0.16249999,1.0
1.3375001,0.2375,-0.16249999,1.0
1.3625,0.2375,-0.16249999,1.0
1.3875,0.2375,-0.16249999,1.0
1.4124999,0.2375,-0.16249999,1.0
1.4375,0.2375,-0.16249999,1.0
1.4625001,0.2375,-0.16249999,1.0
1.4875,0.2375,-0.16249999,1.0
1.5125,0.2375,-0.16249999,1.0
1.5374999,0.2375,-0.16249999,1.0
1.5625,0.2375,-0.16249999,1.0
1.6875,0.2375,-0.16249999,1.0
1.7125001,0.2375,-0.16249999,1.0
1.7375,0.2375,-0.16249999,1.0
1.7625,0.2375,-0.16249999,1.0
1.7874999,0.2375,-0.16249999,1.0
1.8125,0.2375,-0.16249999,1.0
1.8375001,0.2375,-0.16249999,1.0
1.8625,0.2375,-0.16249999,1.0
1.8875,0.2375,-0.16249999,1.0
0.63749999,0.26249999,-0.16249999,1.0
0.66250002,0.26249999,-0.16249999,1.0
0.6875,0.26249999,-0.16249999,1.0
0.71249998,0.26249999,-0.16249999,1.0
0.73750001,0.26249999,-0.16249999,1.0
0.76249999,0.26249999,-0.16249999,1.0
0.78750002,0.26249999,-0.16249999,1.0
0.8125,0.26249999,-0.16249999,1.0
0.83749998,0.26249999,-0.16249999,1.0
0.86250001,0.26249999,-0.16249999,1.0
0.88749999,0.26249999,-0.16249999,1.0
0.91250002,0.26249999,-0.16249999,1.0
0.9375,0.26249999,-0.16249999,1.0
0.96249998,0.26249999,-0.16249999,1.0
0.98750001,0.26249999,-0.16249999,1.0
1.0125,0.26249999,-0.16249999,1.0
1.0374999,0.26249999,-0.16249999,1.0
1.0625,0.26249999,-0.16249999,1.0
1.0875001,0.26249999,-0.16249999,1.0
1.1125,0.26249999,-0.16249999,1.0
1.1375,0.26249999,-0.16249999,1.0
1.1624999,0.26249999,-0.16249999,1.0
1.1875,0.26249999,-0.16249999,1.0
1.2125001,0.26249999,-0.16249999,1.0
1.2375,0.26249999,-0.16249999,1.0
1.2625,0.26249999,-0.16249999,1.0
1.2874999,0.26249999,-0.16249999,1.0
1.3125,0.26249999,-0.16249999,1.0
1.3375001,0.26249999,-0.16249999,1.0
1.3625,0.26249999,-0.16249999,1.0
1.3875,0.26249999,-0.16249999,1.0
1.4124999,0.26249999,-0.16249999,1.0
1.4375,0.26249999,-0.16249999,1.0
1.4625001,0.26249999,-0.16249999,1.0
0.8125,0.28750002,-0.16249999,1.0
0.83749998,0.28750002,-0.16249999,1.0
0.86250001,0.28750002,-0.16249999,1.0
0.88749999,0.28750002,-0.16249999,1.0
0.91250002,0.28750002,-0.16249999,1.0
0.9375,0.28750002,-0.16249999,1.0
0.96249998,0.28750002,-0.16249999,1.0
0.98750001,0.28750002,-0.16249999,1.0
1.0125,0.28750002,-0.16249999,1.0
1.0374999,0.28750002,-0.16249999,1.0
1.0625,0.28750002,-0.16249999,1.0
1.0875001,0.28750002,-0.16249999,1.0
1.1125,0.28750002,-0.16249999,1.0
1.1375,0.28750002,-0.16249999,1.0
1.1624999,0.28750002,-0.16249999,1.0
1.1875,0.28750002,-0.16249999,1.0
1.2125001,0.28750002,-0.16249999,1.0
1.2375,0.28750002,-0.16249999,1.0
1.2625,0.28750002,-0.16249999,1.0
1.2874999,0.28750002,-0.16249999,1.0
1.3125,0.28750002,-0.16249999,1.0
0.88749999,0.3125,-0.16249999,1.0
0.91250002,0.3125,-0.16249999,1.0
0.9375,0.3125,-0.16249999,1.0
0.96249998,0.3125,-0.16249999,1.0
0.98750001,0.3125,-0.16249999,1.0
1.0125,0.3125,-0.16249999,1.0
1.0374999,0.3125,-0.16249999,1.0
1.0625,0.3125,-0.16249999,1.0
1.0875001,0.3125,-0.16249999,1.0
1.1125,0.3125,-0.16249999,1.0
1.1375,0.3125,-0.16249999,1.0
1.1624999,0.3125,-0.16249999,1.0
1.1875,0.3125,-0.16249999,1.0
0.96249998,0.33749998,-0.16249999,1.0
0.98750001,0.33749998,-0.16249999,1.0
1.0125,0.33749998,-0.16249999,1.0
1.0374999,0.33749998,-0.16249999,1.0
1.0625,0.33749998,-0.16249999,1.0
1.0875001,0.33749998,-0.16249999,1.0
0.76249999,-0.0125,-0.1375,1.0
0.78750002,-0.0125,-0.1375,1.0
0.8125,-0.0125,-0.1375,1.0
0.86250001,-0.0125,-0.1375,1.0
0.88749999,-0.0125,-0.1375,1.0
0.91250002,-0.0125,-0.1375,1.0
0.9375,-0.0125,-0.1375,1.0
0.96249998,-0.0125,-0.1375,1.0
0.98750001,-0.0125,-0.1375,1.0
1.0125,-0.0125,-0.1375,1.0
1.0374999,-0.0125,-0.1375,1.0
1.0625,-0.0125,-0.1375,1.0
1.0875001,-0.0125,-0.1375,1.0
1.1125,-0.0125,-0.1375,1.0
1.4875,-0.0125,-0.1375,1.0
1.5125,-0.0125,-0.1375,1.0
1.5374999,-0.0125,-0.1375,1.0
1.5625,-0.0125,-0.1375,1.0
1.5875001,-0.0125,-0.1375,1.0
1.6125,-0.0125,-0.1375,1.0
-0.1375,0.0125,-0.1375,1.0
-0.1125,0.0125,-0.1375,1.0
-0.087500006,0.0125,-0.1375,1.0
-0.0625,0.0125,-0.1375,1.0
-0.037500001,0.0125,-0.1375,1.0
-0.0125,0.0125,-0.1375,1.0
0.0125,0.0125,-0.1375,1.0
0.037500001,0.0125,-0.1375,1.0
0.46249998,0.0125,-0.1375,1.0
0.48750001,0.0125,-0.1375,1.0
0.51249999,0.0125,-0.1375,1.0
0.53750002,0.0125,-0.1375,1.0
0.5625,0.0125,-0.1375,1.0
0.58749998,0.0125,-0.1375,1.0
0.61250001,0.0125,-0.1375,1.0
0.63749999,0.0125,-0.1375,1.0
0.66250002,0.0125,-0.1375,1.0
0.6875,0.0125,-0.1375,1.0
0.71249998,0.0125,-0.1375,1.0
0.73750001,0.0125,-0.1375,1.0
0.76249999,0.0125,-0.1375,1.0
0.78750002,0.0125,-0.1375,1.0
0.8125,0.0125,-0.1375,1.0
0.83749998,0.0125,-0.1375,1.0
0.86250001,0.0125,-0.1375,1.0
0.88749999,0.0125,-0.1375,1.0
0.91250002,0.0125,-0.1375,1.0
0.9375,0.0125,-0.1375,1.0
0.96249998,0.0125,-0.1375,1.0
0.98750001,0.0125,-0.1375,1.0
1.0125,0.0125,-0.1375,1.0
1.0374999,0.0125,-0.1375,1.0
1.0625,0.0125,-0.1375,1.0
1.0875001,0.0125,-0.1375,1.0
1.1125,0.0125,-0.1375,1.0
1.1375,0.0125,-0.1375,1.0
1.1624999,0.0125,-0.1375,1.0
1.1875,0.0125,-0.1375,1.0
1.2125001,0.0125,-0.1375,1.0
1.2375,0.0125,-0.1375,1.0
1.2625,0.0125,-0.1375,1.0
1.2874999,0.0125,-0.1375,1.0
1.3125,0.0125,-0.1375,1.0
1.3375001,0.0125,-0.1375,1.0
1.3625,0.0125,-0.1375,1.0
1.3875,0.0125,-0.1375,1.0
1.4124999,0.0125,-0.1375,1.0
1.4375,0.0125,-0.1375,1.0
1.4625001,0.0125,-0.1375,1.0
1.4875,0.0125,-0.1375,1.0
1.5125,0.0125,-0.1375,1.0
1.5374999,0.0125,-0.1375,1.0
1.5625,0.0125,-0.1375,1.0
1.5875001,0.0125,-0.1375,1.0
1.6125,0.0125,-0.1375,1.0
1.6375,0.0125,-0.1375,1.0
1.6624999,0.0125,-0.1375,1.0
1.6875,0.0125,-0.1375,1.0
1.7125001,0.0125,-0.1375,1.0
1.7375,0.0125,-0.1375,1.0
1.7625,0.0125,-0.1375,1.0
1.7874999,0.0125,-0.1375,1.0
1.8125,0.0125,-0.1375,1.0
1.8375001,0.0125,-0.1375,1.0
1.8625,0.0125,-0.1375,1.0
1.8875,0.0125,-0.1375,1.0
1.9124999,0.0125,-0.1375,1.0
1.9375,0.0125,-0.1375,1.0
1.9625001,0.0125,-0.1375,1.0
-0.16249999,0.037500001,-0.1375,1.0
-0.1375,0.037500001,-0.1375,1.0
-0.1125,0.037500001,-0.1375,1.0
-0.087500006,0.037500001,-0.1375,1.0
-0.0625,0.037500001,-0.1375,1.0
-0.037500001,0.037500001,-0.1375,1.0
-0.0125,0.037500001,-0.1375,1.0
0.0125,0.037500001,-0.1375,1.0
0.037500001,0.037500001,-0.1375,1.0
0.0625,0.037500001,-0.1375,1.0
0.16249999,0.037500001,-0.1375,1.0
0.1875,0.037500001,-0.1375,1.0
0.21250001,0.037500001,-0.1375,1.0
0.2375,0.037500001,-0.1375,1.0
0.26249999,0.037500001,-0.1375,1.0
0.28750002,0.037500001,-0.1375,1.0
0.41250002,0.037500001,-0.1375,1.0
0.4375,0.037500001,-0.1375,1.0
0.46249998,0.037500001,-0.1375,1.0
0.48750001,0.037500001,-0.1375,1.0
0.51249999,0.037500001,-0.1375,1.0
0.53750002,0.037500001,-0.1375,1.0
0.5625,0.037500001,-0.1375,1.0
0.58749998,0.037500001,-0.1375,1.0
0.61250001,0.037500001,-0.1375,1.0
0.63749999,0.037500001,-0.1375,1.0
0.66250002,0.037500001,-0.1375,1.0
0.6875,0.037500001,-0.1375,1.0
0.71249998,0.037500001,-0.1375,1.0
0.73750001,0.037500001,-0.1375,1.0
0.76249999,0.037500001,-0.1375,1.0
0.78750002,0.037500001,-0.1375,1.0
0.8125,0.037500001,-0.1375,1.0
0.83749998,0.037500001,-0.1375,1.0
0.86250001,0.037500001,-0.1375,1.0
0.88749999,0.037500001,-0.1375,1.0
0.91250002,0.037500001,-0.1375,1.0
0.9375,0.037500001,-0.1375,1.0
0.96249998,0.037500001,-0.1375,1.0
0.98750001,0.037500001,-0.1375,1.0
1.0125,0.037500001,-0.1375,1.0
1.0374999,0.037500001,-0.1375,1.0
1.0625,0.037500001,-0.1375,1.0
1.0875001,0.037500001,-0.1375,1.0
1.1125,0.037500001,-0.1375,1.0
1.1375,0.037500001,-0.1375,1.0
1.1624999,0.037500001,-0.1375,1.0
1.1875,0.037500001,-0.1375,1.0
1.2125001,0.037500001,-0.1375,1.0
1.2375,0.037500001,-0.1375,1.0
1.2625,0.037500001,-0.1375,1.0
1.2874999,0.037500001,-0.1375,1.0
1.3125,0.037500001,-0.1375,1.0
1.3375001,0.037500001,-0.1375,1.0
1.3625,0.037500001,-0.1375,1.0
1.3875,0.037500001,-0.1375,1.0
1.4124999,0.037500001,-0.1375,1.0
1.4375,0.037500001,-0.1375,1.0
1.4625001,0.037500001,-0.1375,1.0
1.4875,0.037500001,-0.1375,1.0
1.5125,0.037500001,-0.1375,1.0
1.5374999,0.037500001,-0.1375,1.0
1.5625,0.037500001,-0.1375,1.0
1.5875001,0.037500001,-0.1375,1.0
1.6125,0.037500001,-0.1375,1.0
1.6375,0.037500001,-0.1375,1.0
1.6624999,0.037500001,-0.1375,1.0
1.6875,0.037500001,-0.1375,1.0
1.7125001,0.037500001,-0.1375,1.0
1.7375,0.037500001,-0.1375,1.0
1.7625,0.037500001,-0.1375,1.0
1.7874999,0.037500001,-0.1375,1.0
1.8125,0.037500001,-0.1375,1.0
1.8375001,0.037500001,-0.1375,1.0
1.8625,0.037500001,-0.1375,1.0
1.8875,0.037500001,-0.1375,1.0
1.9124999,0.037500001,-0.1375,1.0
1.9375,0.037500001,-0.1375,1.0
1.9625001,0.037500001,-0.1375,1.0
1.9875,0.037500001,-0.1375,1.0
2.0125,0.037500001,-0.1375,1.0
2.0374999,0.037500001,-0.1375,1.0
2.0625,0.037500001,-0.1375,1.0
-0.16249999,0.0625,-0.1375,1.0
-0.1375,0.0625,-0.1375,1.0
-0.1125,0.0625,-0.1375,1.0
-0.087500006,0.0625,-0.1375,1.0
-0.0625,0.0625,-0.1375,1.0
-0.037500001,0.0625,-0.1375,1.0
-0.0125,0.0625,-0.1375,1.0
0.0125,0.0625,-0.1375,1.0
0.037500001,0.0625,-0.1375,1.0
0.0625,0.0625,-0.1375,1.0
0.087500006,0.0625,-0.1375,1.0
0.16249999,0.0625,-0.1375,1.0
0.1875,0.0625,-0.1375,1.0
0.21250001,0.0625,-0.1375,1.0
0.2375,0.0625,-0.1375,1.0
0.26249999,0.0625,-0.1375,1.0
0.28750002,0.0625,-0.1375,1.0
0.3125,0.0625,-0.1375,1.0
0.33749998,0.0625,-0.1375,1.0
0.36250001,0.0625,-0.1375,1.0
0.38749999,0.0625,-0.1375,1.0
0.41250002,0.0625,-0.1375,1.0
0.4375,0.0625,-0.1375,1.0
0.46249998,0.0625,-0.1375,1.0
0.48750001,0.0625,-0.1375,1.0
0.51249999,0.0625,-0.1375,1.0
0.53750002,0.0625,-0.1375,1.0
0.5625,0.0625,-0.1375,1.0
0.58749998,0.0625,-0.1375,1.0
0.61250001,0.0625,-0.1375,1.0
0.63749999,0.0625,-0.1375,1.0
0.66250002,0.0625,-0.1375,1.0
0.6875,0.0625,-0.1375,1.0
0.71249998,0.0625,-0.1375,1.0
0.73750001,0.0625,-0.1375,1.0
0.76249999,0.0625,-0.1375,1.0
0.78750002,0.0625,-0.1375,1.0
0.8125,0.0625,-0.1375,1.0
0.83749998,0.0625,-0.1375,1.0
0.86250001,0.0625,-0.1375,1.0
0.88749999,0.0625,-0.1375,1.0
0.91250002,0.0625,-0.1375,1.0
0.9375,0.0625,-0.1375,1.0
0.96249998,0.0625,-0.1375,1.0
0.98750001,0.0625,-0.1375,1.0
1.0125,0.0625,-0.1375,1.0
1.0374999,0.0625,-0.1375,1.0
1.0625,0.0625,-0.1375,1.0
1.0875001,0.0625,-0.1375,1.0
1.1125,0.0625,-0.1375,1.0
1.1375,0.0625,-0.1375,1.0
1.1624999,0.0625,-0.1375,1.0
1.1875,0.0625,-0.1375,1.0
1.2125001,0.0625,-0.1375,1.0
1.2375,0.0625,-0.1375,1.0
1.2625,0.0625,-0.1375,1.0
1.2874999,0.0625,-0.1375,1.0
1.3125,0.0625,-0.1375,1.0
1.3375001,0.0625,-0.1375,1.0
1.3625,0.0625,-0.1375,1.0
1.3875,0.0625,-0.1375,1.0
1.4124999,0.0625,-0.1375,1.0
1.4375,0.0625,-0.1375,1.0
1.4625001,0.0625,-0.1375,1.0
1.4875,0.0625,-0.1375,1.0
1.5125,0.0625,-0.1375,1.0
1.5374999,0.0625,-0.1375,1.0
1.5625,0.0625,-0.1375,1.0
1.5875001,0.0625,-0.1375,1.0
1.6125,0.0625,-0.1375,1.0
1.6375,0.0625,-0.1375,1.0
1.6624999,0.0625,-0.1375,1.0
1.6875,0.0625,-0.1375,1.0
1.7125001,0.0625,-0.1375,1.0
1.7375,0.0625,-0.1375,1.0
1.7625,0.0625,-0.1375,1.0
1.7874999,0.0625,-0.1375,1.0
1.8125,0.0625,-0.1375,1.0
1.8375001,0.0625,-0.1375,1.0
1.8625,0.0625,-0.1375,1.0
1.8875,0.0625,-0.1375,1.0
1.9124999,0.0625,-0.1375,1.0
1.9375,0.0625,-0.1375,1.0
1.9625001,0.0625,-0.1375,1.0
1.9875,0.0625,-0.1375,1.0
2.0125,0.0625,-0.1375,1.0
2.0374999,0.0625,-0.1375,1.0
2.0625,0.0625,-0.1375,1.0
-0.1875,0.087500006,-0.1375,1.0
-0.16249999,0.087500006,-0.1375,1.0
-0.1375,0.087500006,-0.1375,1.0
-0.1125,0.087500006,-0.1375,1.0
-0.087500006,0.087500006,-0.1375,1.0
-0.0625,0.087500006,-0.1375,1.0
-0.037500001,0.087500006,-0.1375,1.0
-0.0125,0.087500006,-0.1375,1.0
0.0125,0.087500006,-0.1375,1.0
0.037500001,0.087500006,-0.1375,1.0
0.0625,0.087500006,-0.1375,1.0
0.087500006,0.087500006,-0.1375,1.0
0.1125,0.087500006,-0.1375,1.0
0.1375,0.087500006,-0.1375,1.0
0.16249999,0.087500006,-0.1375,1.0
0.1875,0.087500006,-0.1375,1.0
0.21250001,0.087500006,-0.1375,1.0
0.2375,0.087500006,-0.1375,1.0
0.26249999,0.087500006,-0.1375,1.0
0.28750002,0.087500006,-0.1375,1.0
0.3125,0.087500006,-0.1375,1.0
0.33749998,0.087500006,-0.1375,1.0
0.36250001,0.087500006,-0.1375,1.0
0.38749999,0.087500006,-0.1375,1.0
0.41250002,0.087500006,-0.1375,1.0
0.4375,0.087500006,-0.1375,1.0
0.46249998,0.087500006,-0.1375,1.0
0.48750001,0.087500006,-0.1375,1.0
0.51249999,0.087500006,-0.1375,1.0
0.53750002,0.087500006,-0.1375,1.0
0.5625,0.087500006,-0.1375,1.0
0.58749998,0.087500006,-0.1375,1.0
0.61250001,0.087500006,-0.1375,1.0
0.63749999,0.087500006,-0.1375,1.0
0.66250002,0.087500006,-0.1375,1.0
0.6875,0.087500006,-0.1375,1.0
0.71249998,0.087500006,-0.1375,1.0
0.73750001,0.087500006,-0.1375,1.0
0.76249999,0.087500006,-0.1375,1.0
0.78750002,0.087500006,-0.1375,1.0
0.8125,0.087500006,-0.1375,1.0
0.83749998,0.087500006,-0.1375,1.0
0.86250001,0.087500006,-0.1375,1.0
0.88749999,0.087500006,-0.1375,1.0
0.91250002,0.087500006,-0.1375,1.0
0.9375,0.087500006,-0.1375,1.0
0.96249998,0.087500006,-0.1375,1.0
0.98750001,0.087500006,-0.1375,1.0
1.0125,0.087500006,-0.1375,1.0
1.0374999,0.087500006,-0.1375,1.0
1.0625,0.087500006,-0.1375,1.0
1.0875001,0.087500006,-0.1375,1.0
1.1125,0.087500006,-0.1375,1.0
1.1375,0.087500006,-0.1375,1.0
1.1624999,0.087500006,-0.1375,1.0
1.1875,0.087500006,-0.1375,1.0
1.2125001,0.087500006,-0.1375,1.0
1.2375,0.087500006,-0.1375,1.0
1.2625,0.087500006,-0.1375,1.0
1.2874999,0.087500006,-0.1375,1.0
1.3125,0.087500006,-0.1375,1.0
1.3375001,0.087500006,-0.1375,1.0
1.3625,0.087500006,-0.1375,1.0
1.3875,0.087500006,-0.1375,1.0
1.4124999,0.087500006,-0.1375,1.0
1.4375,0.087500006,-0.1375,1.0
1.4625001,0.087500006,-0.1375,1.0
1.4875,0.087500006,-0.1375,1.0
1.5125,0.087500006,-0.1375,1.0
1.5374999,0.087500006,-0.1375,1.0
1.5625,0.087500006,-0.1375,1.0
1.5875001,0.087500006,-0.1375,1.0
1.6125,0.087500006,-0.1375,1.0
1.6375,0.087500006,-0.1375,1.0
1.6624999,0.087500006,-0.1375,1.0
1.6875,0.087500006,-0.1375,1.0
1.7125001,0.087500006,-0.1375,1.0
1.7375,0.087500006,-0.1375,1.0
1.7625,0.087500006,-0.1375,1.0
1.7874999,0.087500006,-0.1375,1.0
1.8125,0.087500006,-0.1375,1.0
1.8375001,0.087500006,-0.1375,1.0
1.8625,0.087500006,-0.1375,1.0
1.8875,0.087500006,-0.1375,1.0
1.9124999,0.087500006,-0.1375,1.0
1.9375,0.087500006,-0.1375,1.0
1.9625001,0.087500006,-0.1375,1.0
1.9875,0.087500006,-0.1375,1.0
2.0125,0.087500006,-0.1375,1.0
2.0374999,0.087500006,-0.1375,1.0
2.0625,0.087500006,-0.1375,1.0
2.0875001,0.087500006,-0.1375,1.0
-0.1875,0.1125,-0.1375,1.0
-0.16249999,0.1125,-0.1375,1.0
-0.1375,0.1125,-0.1375,1.0
-0.1125,0.1125,-0.1375,1.0
-0.087500006,0.1125,-0.1375,1.0
-0.0625,0.1125,-0.1375,1.0
-0.037500001,0.1125,-0.1375,1.0
-0.0125,0.1125,-0.1375,1.0
0.0125,0.1125,-0.1375,1.0
0.037500001,0.1125,-0.1375,1.0
0.0625,0.1125,-0.1375,1.0
0.087500006,0.1125,-0.1375,1.0
0.1125,0.1125,-0.1375,1.0
0.1375,0.1125,-0.1375,1.0
0.16249999,0.1125,-0.1375,1.0
0.1875,0.1125,-0.1375,1.0
0.21250001,0.1125,-0.1375,1.0
0.2375,0.1125,-0.1375,1.0
0.26249999,0.1125,-0.1375,1.0
0.28750002,0.1125,-0.1375,1.0
0.3125,0.1125,-0.1375,1.0
0.33749998,0.1125,-0.1375,1.0
0.36250001,0.1125,-0.1375,1.0
0.38749999,0.1125,-0.1375,1.0
0.41250002,0.1125,-0.1375,1.0
0.4375,0.1125,-0.1375,1.0
0.46249998,0.1125,-0.1375,1.0
0.48750001,0.1125,-0.1375,1.0
0.51249999,0.1125,-0.1375,1.0
0.53750002,0.1125,-0.1375,1.0
0.5625,0.1125,-0.1375,1.0
0.58749998,0.1125,-0.1375,1.0
0.61250001,0.1125,-0.1375,1.0
0.63749999,0.1125,-0.1375,1.0
0.66250002,0.1125,-0.1375,1.0
0.6875,0.1125,-0.1375,1.0
0.71249998,0.1125,-0.1375,1.0
0.73750001,0.1125,-0.1375,1.0
0.76249999,0.1125,-0.1375,1.0
0.78750002,0.1125,-0.1375,1.0
0.8125,0.1125,-0.1375,1.0
0.83749998,0.1125,-0.1375,1.0
0.86250001,0.1125,-0.1375,1.0
0.88749999,0.1125,-0.1375,1.0
0.91250002,0.1125,-0.1375,1.0
0.9375,0.1125,-0.1375,1.0
0.96249998,0.1125,-0.1375,1.0
0.98750001,0.1125,-0.1375,1.0
1.0125,0.1125,-0.1375,1.0
1.0374999,0.1125,-0.1375,1.0
1.0625,0.1125,-0.1375,1.0
1.0875001,0.1125,-0.1375,1.0
1.1125,0.1125,-0.1375,1.0
1.1375,0.1125,-0.1375,1.0
1.1624999,0.1125,-0.1375,1.0
1.1875,0.1125,-0.1375,1.0
1.2125001,0.1125,-0.1375,1.0
1.2375,0.1125,-0.1375,1.0
1.2625,0.1125,-0.1375,1.0
1.2874999,0.1125,-0.1375,1.0
1.3125,0.1125,-0.1375,1.0
1.3375001,0.1125,-0.1375,1.0
1.3625,0.1125,-0.1375,1.0
1.3875,0.1125,-0.1375,1.0
1.4124999,0.1125,-0.1375,1.0
1.4375,0.1125,-0.1375,1.0
1.4625001,0.1125,-0.1375,1.0
1.4875,0.1125,-0.1375,1.0
1.5125,0.1125,-0.1375,1.0
1.5374999,0.1125,-0.1375,1.0
1.5625,0.1125,-0.1375,1.0
1.5875001,0.1125,-0.1375,1.0
1.6125,0.1125,-0.1375,1.0
1.6375,0.1125,-0.1375,1.0
1.6624999,0.1125,-0.1375,1.0
1.6875,0.1125,-0.1375,1.0
1.7125001,0.1125,-0.1375,1.0
1.7375,0.1125,-0.1375,1.0
1.7625,0.1125,-0.1375,1.0
1.7874999,0.1125,-0.1375,1.0
1.8125,0.1125,-0.1375,1.0
1.8375001,0.1125,-0.1375,1.0
1.8625,0.1125,-0.1375,1.0
1.8875,0.1125,-0.1375,1.0
1.9124999,0.1125,-0.1375,1.0
1.9375,0.1125,-0.1375,1.0
1.9625001,0.1125,-0.1375,1.0
1.9875,0.1125,-0.1375,1.0
2.0125,0.1125,-0.1375,1.0
2.0374999,0.1125,-0.1375,1.0
2.0625,0.1125,-0.1375,1.0
2.0875001,0.1125,-0.1375,1.0
-0.16249999,0.1375,-0.1375,1.0
-0.1375,0.1375,-0.1375,1.0
-0.1125,0.1375,-0.1375,1.0
-0.087500006,0.1375,-0.1375,1.0
